Date,unemployment,fed interest rate,growth rate,Average GBP/USD
20200301,4.400,0.65,#N/A,1.237805
20200201,3.500,1.58,#N/A,1.29677
20200101,3.600,1.55,#N/A,1.30706
20191201,3.500,1.55,2.35,1.311692
20191101,3.500,1.55,2.35,1.288583
20191001,3.600,1.83,2.35,1.263037
20190901,3.500,2.04,2.35,1.235213
20190801,3.700,2.13,2.35,1.215307
20190701,3.700,2.4,2.35,1.24736
20190601,3.700,2.38,2.35,1.267396
20190501,3.600,2.39,2.35,1.283196
20190401,3.600,2.42,2.35,1.304079
20190301,3.800,2.41,2.35,1.316985
20190201,3.800,2.4,2.35,1.300885
20190101,4.000,2.4,2.35,1.28872
20181201,3.900,2.27,2.927322728,1.268124
20181101,3.700,2.2,2.927322728,1.290036
20181001,3.800,2.19,2.927322728,1.301049
20180901,3.700,1.95,2.927322728,1.305897
20180801,3.800,1.91,2.927322728,1.287701
20180701,3.800,1.91,2.927322728,1.317095
20180601,4.000,1.82,2.927322728,1.32881
20180501,3.800,1.7,2.927322728,1.346472
20180401,4.000,1.69,2.927322728,1.407705
20180301,4.000,1.51,2.927322728,1.397377
20180201,4.100,1.42,2.927322728,1.396902
20180101,4.100,1.41,2.927322728,1.381263
20171201,4.100,1.3,2.21701033,1.340988
20171101,4.200,1.16,2.21701033,1.32194
20171001,4.100,1.15,2.21701033,1.319842
20170901,4.200,1.15,2.21701033,1.332025
20170801,4.400,1.16,2.21701033,1.29582
20170701,4.300,1.15,2.21701033,1.298932
20170601,4.300,1.04,2.21701033,1.280121
20170501,4.400,0.91,2.21701033,1.292464
20170401,4.400,0.9,2.21701033,1.264222
20170301,4.400,0.79,2.21701033,1.234398
20170201,4.600,0.66,2.21701033,1.248073
20170101,4.700,0.65,2.21701033,1.232889
20161201,4.700,0.54,1.56721517,1.24862
20161101,4.700,0.41,1.56721517,1.24284
20161001,4.900,0.4,1.56721517,1.233652
20160901,5.000,0.4,1.56721517,1.315714
20160801,4.900,0.4,1.56721517,1.311068
20160701,4.800,0.39,1.56721517,1.316098
20160601,4.900,0.38,1.56721517,1.421697
20160501,4.800,0.37,1.56721517,1.454371
20160401,5.000,0.37,1.56721517,1.431406
20160301,5.000,0.36,1.56721517,1.422644
20160201,4.900,0.38,1.56721517,1.43046
20160101,4.900,0.34,1.56721517,1.4394
20151201,5.000,0.24,2.880910466,1.498427
20151101,5.100,0.12,2.880910466,1.519415
20151001,5.000,0.12,2.880910466,1.533043
20150901,5.000,0.14,2.880910466,1.534498
20150801,5.100,0.14,2.880910466,1.559607
20150701,5.200,0.13,2.880910466,1.55564
20150601,5.300,0.13,2.880910466,1.555909
20150501,5.600,0.12,2.880910466,1.545609
20150401,5.400,0.12,2.880910466,1.494783
20150301,5.400,0.11,2.880910466,1.497773
20150201,5.500,0.11,2.880910466,1.532786
20150101,5.700,0.11,2.880910466,1.515496
20141201,5.600,0.12,2.451973035,1.56427
20141101,5.800,0.09,2.451973035,1.57777
20141001,5.700,0.09,2.451973035,1.606992
20140901,5.900,0.09,2.451973035,1.630775
20140801,6.100,0.09,2.451973035,1.670157
20140701,6.200,0.09,2.451973035,1.707101
20140601,6.100,0.1,2.451973035,1.690477
20140501,6.300,0.09,2.451973035,1.684192
20140401,6.200,0.09,2.451973035,1.673868
20140301,6.700,0.08,2.451973035,1.661997
20140201,6.700,0.07,2.451973035,1.655443
20140101,6.600,0.07,2.451973035,1.64627
20131201,6.700,0.09,1.842081071,1.638446
20131101,6.900,0.08,1.842081071,1.610555
20131001,7.200,0.09,1.842081071,1.609437
20130901,7.200,0.08,1.842081071,1.585848
20130801,7.200,0.08,1.842081071,1.549416
20130701,7.300,0.09,1.842081071,1.51756
20130601,7.500,0.09,1.842081071,1.548153
20130501,7.500,0.11,1.842081071,1.528924
20130401,7.600,0.15,1.842081071,1.531133
20130301,7.500,0.14,1.842081071,1.507551
20130201,7.700,0.15,1.842081071,1.548977
20130101,8.000,0.14,1.842081071,1.596004
20121201,7.900,0.16,2.249545852,1.614932
20121101,7.700,0.16,2.249545852,1.595701
20121001,7.800,0.16,2.249545852,1.608409
20120901,7.800,0.14,2.249545852,1.610516
20120801,8.100,0.13,2.249545852,1.571915
20120701,8.200,0.16,2.249545852,1.558926
20120601,8.200,0.16,2.249545852,1.554542
20120501,8.200,0.16,2.249545852,1.591172
20120401,8.200,0.14,2.249545852,1.601471
20120301,8.200,0.13,2.249545852,1.581943
