date,next_trading_day,speaker,Positive,Negative,Polarity,LM_pos_rate,LM_neg_rate,LM_net_polarity_per_token,fomc_hawk,fomc_dove,fomc_neutral,finbert_score,topic_confidence,topic_prob_6,topic_prob_0,topic_prob_1,topic_prob_4,topic_prob_3,topic_prob_2,topic_prob_5,topic_prob_14,topic_prob_15,topic_prob_10,unemployment,fed interest rate,day_of_week,month,year,pre_crisis,crisis,post_crisis,is_chair,is_vice_chair,n_tokens,finbert_label_encoded,target_SP500_1d,target_SP500_5d,target_RSL_1d,target_RSL_5d,target_DJIA_1d,target_DJIA_5d,target_NDQ_1d,target_NDQ_5d,class_SP500_1d,class_SP500_5d,class_RSL_1d,class_RSL_5d,class_DJIA_1d,class_DJIA_5d,class_NDQ_1d,class_NDQ_5d
1996-12-19,1996-12-20,Vice Chair Alice M. Rivlin,50,88,-0.2753623168452006,0.0296384113811499,0.0521636040308239,-0.0225251926496739,0.0002936291566584,0.0001000811753328,0.9996063113212584,0.8966019749641418,0.0296411272052262,2.172128434101095e-307,5.771820466813267e-308,2.946989425966376e-308,4.338950240142992e-308,2.9490204473870007e-308,2.969350085711627e-308,3.7080497055108055e-308,1.0,7.991718391396364e-308,5.069221279417449e-308,5.4,5.29,3.0,12.0,1996.0,1,0,0,0,1,1687,0,0.0007124972637529,0.0100194645336828,-0.0026039395619343,0.0066499933249037,-0.0111024637625479,-0.009064201989378,-0.0036163215447981,0.0091951413133039,Neutral,Neutral,Neutral,Neutral,Bearish,Neutral,Neutral,Neutral
1996-12-06,1996-12-09,Chairman Alan Greenspan,59,70,-0.0852713171684394,0.0469745222929936,0.0557324840764331,-0.0087579617834394,0.0992795899510383,0.0418030954897403,0.8589172959327698,0.6468852162361145,1.0,0.019665562441063,0.0543248515864978,0.0225509322775926,0.0205518333707958,0.0284803909240632,0.0133849158795558,0.0207611266196285,0.0194367523708056,0.0195956161221683,0.0199648984257505,5.4,5.29,4.0,12.0,1996.0,1,0,0,1,0,1256,0,0.0014403071003355,-0.0302586109281592,-0.0029609897958884,-0.0383856553057179,-0.0089652509157339,-0.0605388313232667,0.0022469349511402,-0.0277677037344055,Neutral,Bearish,Neutral,Bearish,Bearish,Bearish,Neutral,Bearish
1996-12-05,1996-12-06,Chairman Alan Greenspan,62,137,-0.3768844202166612,0.0335497835497835,0.0741341991341991,-0.0405844155844155,0.0021631880663335,0.0003503746120259,0.9974864721298218,0.8871931433677673,0.0901818548272409,0.0120559390033209,0.0113628009547324,0.0068860218350248,0.0155971118852692,0.006415681428333,0.0084179405692513,0.0118703331706858,0.0181900256207028,0.0095587105553194,0.0122874254473129,5.4,5.29,3.0,12.0,1996.0,1,0,0,1,0,1848,0,0.0128487577057849,-0.0120762377782213,0.0137372018862471,-0.0148187686577695,0.0355774131043519,0.001499002915146,0.0140365407436708,-0.0037131007713607,Bullish,Bearish,Bullish,Bearish,Bullish,Neutral,Bullish,Neutral
1996-12-03,1996-12-04,"Governor Edward W. Kelley, Jr.",36,59,-0.2421052606094183,0.0289156626506024,0.0473895582329317,-0.0184738955823293,0.0001812418777262,7.73671199567616e-05,0.9997413754463196,0.7657160758972168,0.4516360640573036,2.0290098280779623e-308,2.3654168505323984e-308,3.9314592476880735e-308,3.181694365574533e-308,2.7137217763776774e-308,4.302191185836917e-308,2.694075788145725e-308,2.4740422823237706e-308,1.915518869311171e-308,2.2755745419454564e-308,5.4,5.29,1.0,12.0,1996.0,1,0,0,0,0,1245,0,0.0022046222413999,-0.0031792173150118,-0.0009662739588185,-0.0058649782047717,0.001377779123308,0.0260348407513733,0.0026528390764073,-0.0011169893595833,Neutral,Neutral,Neutral,Neutral,Neutral,Bullish,Neutral,Neutral
1996-11-25,1996-11-26,Governor Susan M. Phillips,52,32,0.238095235260771,0.0475754803293687,0.0292772186642269,0.0182982616651418,0.0001609860482858,0.0001297663984587,0.9997091889381408,0.8086074590682983,0.2516754402546549,2.532907874331188e-308,2.528692352259462e-308,6.074113753200567e-308,7.362611355149258e-308,3.0976659874426613e-308,1.0,2.8889298702674865e-308,3.269851254128675e-308,2.1947073777133183e-308,2.592378490100721e-308,5.4,5.31,0.0,11.0,1996.0,1,0,0,0,0,1093,0,-0.0044528930940666,-0.0161555742239598,-0.0012699374897512,-0.0143659004061878,0.0083099965723131,0.0110719610184163,0.0036712633815122,0.0191245976644126,Neutral,Bearish,Neutral,Bearish,Neutral,Neutral,Neutral,Bullish
1996-11-21,1996-11-22,Governor Laurence H. Meyer,107,123,-0.0695652170888468,0.047032967032967,0.054065934065934,-0.007032967032967,0.0003817839897237,0.0001459886989323,0.999472200870514,0.8764735460281372,0.4607043948938146,0.0161771206441427,0.0171793726290095,0.0565752090045122,0.0531915576275291,0.0248199769166983,0.072740730461952,0.018132069729902,0.0209492334638669,0.0137816865130778,0.0161304870810821,5.4,5.31,3.0,11.0,1996.0,1,0,0,0,0,2275,0,0.0117480061360339,0.0077166692671073,0.0110855035121321,0.0104577314841081,0.0035069652288223,0.032088187399716,0.0067729624663979,0.0154892052531187,Bullish,Neutral,Bullish,Neutral,Neutral,Bullish,Neutral,Bullish
1996-11-18,1996-11-19,Chairman Alan Greenspan,128,181,-0.1715210350436212,0.0469208211143695,0.0663489736070381,-0.0194281524926686,0.0002510500198695,9.737808431964368e-05,0.9996515512466432,0.8124325275421143,1.0,4.1232205320024864e-308,4.580744622085287e-308,2.442176904066392e-308,5.685656662624748e-308,3.0004132112708674e-308,3.325178452623822e-308,1.5754566862387623e-307,3.775093891985321e-308,3.80939554182782e-308,1.0252636220059436e-307,5.4,5.31,0.0,11.0,1996.0,1,0,0,1,0,2728,0,0.005067513033032,0.0204467388703573,0.0024119315609485,0.0185944396457467,0.0032390792234451,0.0244855664714927,0.0016716718600935,0.0127683888742387,Neutral,Bullish,Neutral,Bullish,Neutral,Bullish,Neutral,Neutral
1996-10-31,1996-11-01,"Governor Edward W. Kelley, Jr.",33,31,0.0312499995117187,0.0299455535390199,0.028130671506352,0.0018148820326678,0.0001636780943954,8.186468767235056e-05,0.9997544884681702,0.9261876940727234,0.4500775091410945,0.0064220256975797,0.0074765824532904,0.0121662883488214,0.0100987386240563,0.008518219753939,0.0136900077381823,0.0086218907605776,0.0078139421403366,0.0060778348225251,0.0072659649029454,5.2,5.24,3.0,10.0,1996.0,1,0,0,0,0,1102,0,0.0032796793425851,0.0328614983337675,0.0042058639262176,0.0384358342104222,0.0009529598467508,0.0571136885298081,0.0004414701323673,0.0141275831616553,Neutral,Bullish,Neutral,Bullish,Neutral,Bullish,Neutral,Neutral
1996-10-24,1996-10-25,Governor Susan M. Phillips,81,58,0.165467624708866,0.0551395507147719,0.0394826412525527,0.0156569094622191,0.000281695567537,6.821755232522264e-05,0.9996501207351683,0.8092683553695679,0.1083872399578151,0.0044466233840283,0.0043373605902717,0.0094511620176442,0.0105053955229766,0.0049580046075572,0.0346876092213118,0.0049681665844718,0.0055760462797994,0.0038874009254196,0.004524874577868,5.2,5.24,3.0,10.0,1996.0,1,0,0,0,0,1469,0,-0.0057083277483692,0.0024821219509042,-0.0052216704242549,0.0040661369208802,-0.0025687219096062,0.0160850274615112,-0.008368064574081,-0.009359394243383,Bearish,Neutral,Neutral,Neutral,Neutral,Neutral,Bearish,Neutral
1996-10-16,1996-10-17,Chairman Alan Greenspan,28,30,-0.0344827580261593,0.0406976744186046,0.0436046511627907,-0.002906976744186,0.0001359053130727,0.0001292087108595,0.9997348189353944,0.850191056728363,1.0,0.0101492240057844,0.013404693277931,0.0119942328288616,0.0105634012894074,0.0086205325124523,0.0076916991793293,0.0095415271151165,0.0130817165351834,0.009189235984556,0.0090873314857853,5.2,5.24,2.0,10.0,1996.0,1,0,0,1,0,688,0,0.0057812556157741,-0.0110113897367784,0.0054173568830501,-0.0066479190256613,0.0013628331747964,-0.0097777385125623,-0.0010051869363735,-0.0147042660978466,Bullish,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Bearish
