,Bearish,Neutral,Bullish,abs_importance
RSL_ret_1d,0.7518753168430471,-0.7744598649427981,0.022584548099750378,0.5163065766285319
RSL_ret_5d,-0.10912728403531093,0.7696172896933537,-0.6604900056580438,0.5130781931289028
DJIA_vol_20d,0.42849190848987107,-0.7014679540937061,0.27297604560383926,0.4676453027291388
RSL_vol_20d,-0.3596374633366263,-0.26868483683491096,0.6283223001715369,0.41888153344769136
NDQ_vol_20d,-0.19878091553158628,0.5210688062154587,-0.322287890683868,0.34737920414363765
RSL_ret_20d,0.18068795620899553,-0.4985522133697524,0.31786425716075567,0.33236814224650124
n_tokens,-0.4565108798342393,0.089965639646426,0.36654524018781287,0.3043405865561594
SP500_ret_20d,-0.35388020486902,0.4419325899102057,-0.08805238504118072,0.29462172660680214
SP500_ret_1d,-0.14139499224701454,0.3983716778565133,-0.2569766856094993,0.2655811185710091
Negative,0.3933105110027188,-0.012035740179308693,-0.38127477082341027,0.2622070073351459
Polarity,0.185937451191168,0.18534902857914298,-0.3712864797703106,0.24752431984687387
DJIA_ret_1d,-0.3134212638991432,0.181118159504514,0.13230310439462684,0.2089475092660947
SP500_ret_5d,-0.06479018829475866,-0.21885831026788427,0.2836484985626417,0.18909899904176153
NDQ_ret_20d,0.09774499888335028,0.17798234465948717,-0.27572734354283823,0.18381822902855857
year,0.03878108258219479,-0.2701700047841203,0.231388922201925,0.18011333652274666
NDQ_ret_5d,0.10711606390892782,-0.24883362595164252,0.14171756204271374,0.16588908396776136
SP500_vol_20d,0.21672498720392983,0.023161306991643357,-0.23988629419557628,0.15992419613038314
DJIA_ret_5d,0.18650341536646334,-0.2211392532336982,0.03463583786723173,0.14742616882246443
crisis,0.20736997049981953,-0.08016428042915197,-0.12720569007067004,0.1382466469998805
NDQ_ret_1d,-0.15759157924041295,0.20448965651108447,-0.046898077270673855,0.13632643767405708
LM_pos_rate,-0.20002816254827857,0.0025801036792835216,0.19744805886899505,0.13335210836551906
Positive,0.15775348155964236,-0.03362713389236397,-0.12412634766727855,0.1051689877064283
month,-0.02998951642134824,-0.10976354495614378,0.13975306137749294,0.093168707584995
topic_prob_3,-0.05198500772310729,0.13775309291068907,-0.0857680851875809,0.09183539527379242
topic_prob_0,-0.026772613064591836,0.13152381284191172,-0.10475119977732063,0.08768254189460806
post_crisis,-0.09210438199518074,0.12506344317564042,-0.03295906118046043,0.08337562878376054
LM_neg_rate,-0.11819604091617912,0.07654633427206266,0.04164970664411609,0.07879736061078596
pre_crisis,-0.06879247532784118,-0.04733755001935352,0.11613002534719466,0.07742001689812979
is_vice_chair,-0.11589168913782368,0.08889851471178221,0.026993174426041554,0.07726112609188247
unemployment,0.04696989500227181,-0.10547318342753077,0.058503288425261396,0.07031545561835466
topic_prob_6,-0.05152179859434461,-0.05170029860551614,0.10322209719986218,0.06881473146657431
topic_prob_4,0.05621092252081573,-0.08106223084412284,0.02485130832330719,0.05404148722941524
topic_prob_15,0.07755986123523735,0.0023110907941485464,-0.07987095202938813,0.05324730135292468
topic_confidence,0.07985889588617667,-0.06535634109587181,-0.014502554790305395,0.05323926392411796
DJIA_ret_20d,-0.059089907042204695,0.07914032251197199,-0.02005041546976753,0.0527602150079814
day_of_week,-0.03542430053815232,0.062438803756957865,-0.027014503218805143,0.04162586917130511
LM_net_polarity_per_token,0.006366132142286209,-0.0610124769276503,0.0546463447853623,0.040674984618432934
topic_prob_14,0.05479296648455578,-0.034864288681445935,-0.019928677803110476,0.036528644323037394
finbert_score,-0.0001398397489937152,-0.054342270842176216,0.05448211059117004,0.03632140706077999
topic_prob_10,0.052123634533113895,-0.02529523391555079,-0.026828400617561955,0.03474908968874221
topic_prob_1,0.02149132998378066,0.02497856714527919,-0.04646989712906026,0.03097993141937337
is_chair,0.03599386727566124,-0.005985555682696715,-0.03000831159296552,0.023995911517107827
fed interest rate,-0.03471331837839119,0.01670241851103909,0.018010899867351507,0.023142212252260597
topic_prob_5,0.033431426622088735,-0.005546766634300297,-0.027884659987789707,0.02228761774805958
fomc_dove,0.031932982953110985,-0.020413882063691373,-0.01151910088941555,0.021288655302072634
fomc_hawk,-0.008543111709950105,0.031668760125588044,-0.023125648415637804,0.021112506750391984
topic_prob_2,0.03144087686925594,-0.00783020026788923,-0.023610676601366964,0.020960584579504046
finbert_label_encoded,-0.009528160963641187,-0.01844005843114089,0.027968219394780294,0.01864547959652079
fomc_neutral,-0.02117350111318631,-0.0027418181902804976,0.02391531930346862,0.01594354620231181
