,Bearish,Neutral,Bullish,abs_importance
SP500_vol_20d,-0.21883991689057336,-0.6254431722561238,0.8442830891467047,0.5628553927644673
RSL_vol_20d,0.534805104450228,0.2980223171142439,-0.8328274215644679,0.5552182810429799
RSL_ret_1d,0.2778286044495954,0.2550761014995015,-0.5329047059490948,0.35526980396606395
RSL_ret_20d,0.4190494138194026,0.10271392932427437,-0.5217633431436736,0.34784222876245013
Polarity,0.4484464699072241,-0.39360822871124335,-0.05483824119598117,0.2989643132714828
NDQ_ret_5d,-0.05609272904353191,0.44360631880813167,-0.38751358976459926,0.2957375458720876
n_tokens,-0.22086802492864008,-0.20761843682824796,0.4284864617568906,0.2856576411712595
SP500_ret_20d,-0.39332605507327595,0.16435155388122089,0.22897450119205764,0.2622173700488515
year,0.11873206325971365,0.23601653307151296,-0.3547485963312271,0.2364990642208179
NDQ_vol_20d,-0.1608022665491292,-0.17728987112192673,0.3380921376710545,0.22539475844737014
Positive,0.11713882206785102,0.21645545010248488,-0.3335942721703363,0.22239618144689074
unemployment,-0.015965648470104617,0.32937918264219634,-0.31341353417209095,0.21958612176146397
RSL_ret_5d,0.11815569108983318,-0.2707824709189235,0.15262677982908948,0.18052164727928202
Negative,-0.12147616912861964,0.2624598678929136,-0.14098369876429265,0.17497324526194194
post_crisis,-0.10141975630214323,-0.15639426095549094,0.2578140172576321,0.17187601150508877
fed interest rate,-0.0805001641890332,0.2522047917532766,-0.17170462756424515,0.16813652783551833
LM_net_polarity_per_token,-0.2501532144716261,0.16214079885805577,0.08801241561357023,0.16676880964775068
LM_pos_rate,-0.2253653033343858,-0.015415889388732573,0.2407811927231188,0.16052079514874573
DJIA_ret_1d,-0.1451627010963978,-0.09318357043335637,0.23834627152975668,0.1588975143531703
SP500_ret_5d,-0.2334332106515693,0.1497322286689757,0.08370098198259363,0.15562214043437955
LM_neg_rate,0.18366990585171666,-0.20814429202529539,0.024474386173578784,0.13876286135019694
NDQ_ret_20d,0.06916705137553422,-0.20685483563592258,0.1376877842603895,0.13790322375728212
SP500_ret_1d,0.025397853846629532,-0.18485809307686776,0.15946023923023647,0.12323872871791126
pre_crisis,0.07695113614151403,0.10786601623546031,-0.1848171523769741,0.12321143491798281
DJIA_ret_20d,-0.08918159193840895,-0.05639465265217079,0.14557624459058088,0.09705082972705355
day_of_week,-0.07007040120267528,0.14093963180103106,-0.07086923059835623,0.09395975453402088
DJIA_ret_5d,0.109461221667645,-0.0456580612830202,-0.06380316038462364,0.07297414777842962
NDQ_ret_1d,-0.10941682342262972,0.03435589289062608,0.07506093053200333,0.07294454894841972
is_vice_chair,0.002993395676621844,0.08899687255004896,-0.09199026822667183,0.061326845484447536
topic_prob_0,0.06409439365897782,-0.08975107052804095,0.025656676869062874,0.05983404701869388
finbert_score,-0.04094365650937173,0.08187174221025843,-0.04092808570088595,0.05458116147350537
is_chair,-5.6271594742260795e-05,-0.0806350569654223,0.08069132856016564,0.053794219040110065
fomc_hawk,-0.022163135555510433,0.08040291168431651,-0.05823977612880683,0.05360194112287792
fomc_dove,0.028402039858502075,-0.07580236068977471,0.047400320831272935,0.05053490712651657
topic_prob_15,0.06031124759872312,0.008626313561142327,-0.0689375611598656,0.045958374106577014
topic_confidence,0.026868081814323506,0.041910545667376384,-0.06877862748170038,0.045852418321133424
topic_prob_4,0.05938945966551677,0.0070224395134591095,-0.06641189917897673,0.044274599452650866
topic_prob_2,0.032139287806139616,0.03128874722825429,-0.06342803503439334,0.042285356689595745
month,-0.05391791118421092,0.031926106719235445,0.02199180446497514,0.03594527412280717
DJIA_vol_20d,-0.011822898995095999,0.051640838347785836,-0.039817939352689076,0.03442722556519031
crisis,0.009824608327770594,0.030599939812372173,-0.04042454814014206,0.026949698760094943
finbert_label_encoded,-0.03978243615219458,0.02045625848239764,0.01932617766979708,0.0265216241014631
topic_prob_1,0.03089964412195417,0.00808556053488822,-0.03898520465683978,0.025990136437894055
topic_prob_14,-0.004731820791090615,0.022683197104187057,-0.017951376313096686,0.015122131402791452
topic_prob_5,0.011195592000747549,0.009274290201154365,-0.02046988220190307,0.013646588134601659
topic_prob_6,-0.016953798164121268,0.008703232993766637,0.008250565170355429,0.011302532109414445
topic_prob_10,-0.009928648644812368,-0.0058026646952324835,0.01573131334004379,0.010487542226696213
fomc_neutral,-0.009784938928425845,0.012920056247988858,-0.0031351173195628204,0.008613370831992507
topic_prob_3,-0.008046035699874323,0.00032370513688957653,0.007722330562984826,0.0053640237999162425
